000001,VKUUXF,ITHOMQJNYX,4608499546 Dell Way,QSDPAGD,SD,024101,US,000001,ITHOMQJNYX@dell.com,4608499546,000001,1979279217775911,2012/03,user1,password,000055,100000,M
000002,HQNMZH,UNUKXHJVXB,5119315633 Dell Way,YNCERXJ,AZ,011802,US,000001,UNUKXHJVXB@dell.com,5119315633,000001,3144519586581737,2012/11,user2,password,000080,040000,M
000003,JTNRNB,LYYSHTQJRE,6297761196 Dell Way,LWVIFXJ,OH,096082,US,000001,LYYSHTQJRE@dell.com,6297761196,000004,8728086929768325,2010/12,user3,password,000047,100000,M
000004,XMFYXD,WQLQHUHLFE,9862764981 Dell Way,HOKEXCD,MS,078442,US,000001,WQLQHUHLFE@dell.com,9862764981,000005,7160005148965866,2009/09,user4,password,000044,040000,F
000005,PGDTDU,ETBYBNEGUT,2841895775 Dell Way,RZQTCDN,AZ,016291,US,000001,ETBYBNEGUT@dell.com,2841895775,000003,8377095518168063,2010/10,user5,password,000021,020000,M
000006,FXDZBW,BAXPEEKXVJ,6192740010 Dell Way,OPLRCNT,IN,099300,US,000001,BAXPEEKXVJ@dell.com,6192740010,000005,7730283664073796,2011/01,user6,password,000072,100000,M
000007,WVZTXZ,RMEVXCQGQF,9743191382 Dell Way,SIIGBQF,NV,055961,US,000001,RMEVXCQGQF@dell.com,9743191382,000002,5914961899630726,2011/02,user7,password,000052,060000,M
000008,LIWLAI,PVGRMMHSEQ,7576564107 Dell Way,BKSRQJE,NJ,066444,US,000001,PVGRMMHSEQ@dell.com,7576564107,000002,7663945967331529,2009/12,user8,password,000067,080000,F
000009,NCGWRC,CJOPRHUHIE,7291678624 Dell Way,ZAVIELY,VT,078838,US,000001,CJOPRHUHIE@dell.com,7291678624,000001,7172072122339160,2009/10,user9,password,000086,100000,M
000010,FUOHXX,WMOEHWMMWM,2603867587 Dell Way,HERSDPM,TN,075182,US,000001,WMOEHWMMWM@dell.com,2603867587,000002,5486729339230806,2008/02,user10,password,000044,040000,M
000011,XQVVMI,KRPGDBCQJH,2415449050 Dell Way,ICLYPGR,PA,053868,US,000001,KRPGDBCQJH@dell.com,2415449050,000005,6630987872369588,2010/03,user11,password,000058,060000,M
